"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2024","91.00","90.00","91.50","89.60","434.43K","1.22%"
"02/16/2024","89.90","89.00","90.00","89.00","169.15K","0.45%"
"02/15/2024","89.50","88.60","89.50","88.40","1.20M","1.02%"
"02/14/2024","88.60","89.00","89.00","88.50","25.95K","-1.01%"
"02/13/2024","89.50","89.90","89.90","88.80","803.45K","0.00%"
"02/12/2024","89.50","89.70","89.90","89.30","47.95K","0.00%"
"02/09/2024","89.50","89.50","89.50","88.80","154.75K","0.00%"
"02/08/2024","89.50","89.00","89.70","88.90","106.11K","0.56%"
"02/07/2024","89.00","88.00","89.00","88.00","98.73K","1.48%"
"02/06/2024","87.70","88.50","88.50","87.50","485.25K","-0.34%"
"02/02/2024","88.00","89.00","89.00","87.90","93.54K","-1.12%"
"02/01/2024","89.00","87.00","89.00","86.10","572.07K","2.18%"
"01/31/2024","87.10","86.70","87.10","86.00","70.96K","0.00%"
"01/30/2024","87.10","88.40","88.40","87.00","45.56K","-1.02%"
"01/29/2024","88.00","87.50","88.70","87.40","69.14K","0.23%"
"01/26/2024","87.80","87.90","88.00","87.70","225.11K","0.11%"
"01/24/2024","87.70","87.80","88.00","87.50","82.34K","0.00%"
"01/23/2024","87.70","88.50","88.50","87.50","4.76K","-0.11%"
"01/22/2024","87.80","89.30","89.30","87.50","268.52K","-1.90%"
"01/19/2024","89.50","88.00","89.80","88.00","29.06K","0.90%"
"01/18/2024","88.70","89.10","89.80","88.00","34.07K","-1.44%"
"01/17/2024","90.00","91.30","91.30","90.00","77.54K","-1.10%"
"01/16/2024","91.00","91.40","91.50","90.60","365.11K","-0.55%"
"01/12/2024","91.50","92.10","92.40","91.20","150.62K","-0.33%"
"01/11/2024","91.80","93.30","93.30","91.80","526.80K","-1.61%"
"01/10/2024","93.30","94.30","94.70","93.00","132.18K","-0.85%"
"01/09/2024","94.10","95.00","95.00","94.00","19.42K","-0.95%"
"01/08/2024","95.00","95.20","95.50","94.00","351.58K","-1.04%"
"01/05/2024","96.00","96.20","96.20","95.00","238.33K","0.42%"
"01/04/2024","95.60","96.00","96.00","95.20","377.34K","-0.42%"
"01/03/2024","96.00","96.00","97.50","95.70","218.63K","-0.83%"
"01/02/2024","96.80","95.50","98.00","94.50","120.59K","1.36%"
"12/29/2023","95.50","94.50","95.60","94.50","383.94K","1.06%"
"12/28/2023","94.50","93.10","94.50","92.90","645.80K","1.50%"
"12/27/2023","93.10","92.40","94.00","91.70","78.87K","0.11%"
"12/22/2023","93.00","92.80","93.50","92.60","120.09K","0.00%"
"12/21/2023","93.00","93.70","94.20","93.00","82.58K","-0.75%"
"12/20/2023","93.70","93.60","94.00","93.40","118.87K","0.00%"
"12/19/2023","93.70","93.40","94.10","93.40","290.80K","-0.32%"
"12/18/2023","94.00","93.50","94.10","93.40","491.47K","0.00%"
"12/15/2023","94.00","93.90","94.50","93.00","304.92K","0.21%"
"12/14/2023","93.80","94.00","94.90","93.00","96.11K","-0.64%"
"12/13/2023","94.40","95.40","95.40","93.10","273.41K","-0.74%"
"12/12/2023","95.10","94.80","95.10","94.30","362.55K","0.63%"
"12/11/2023","94.50","94.00","94.50","93.70","350.02K","0.53%"
"12/08/2023","94.00","92.00","94.00","92.00","235.42K","2.96%"
"12/07/2023","91.30","90.00","92.00","90.00","207.03K","1.44%"
"12/06/2023","90.00","90.00","90.40","89.50","220.57K","0.00%"
"12/05/2023","90.00","91.00","91.50","89.10","212.11K","-1.10%"
"12/04/2023","91.00","90.80","92.50","90.20","92.56K","1.11%"
"12/01/2023","90.00","87.90","90.10","87.90","355.31K","3.45%"
"11/30/2023","87.00","86.00","88.00","86.00","279.19K","1.40%"
"11/29/2023","85.80","85.50","86.00","85.30","274.89K","0.35%"
"11/28/2023","85.50","85.40","85.50","84.50","67.10K","0.00%"
"11/27/2023","85.50","85.00","85.50","85.00","300.51K","0.59%"
